100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.812, 0.818, 0.813, 0.812, 0.909, 0.832, 0.835([180; 7]), 0.909([60; 7]), 0.394, 0.374, 0.390, 0.351,  0.321, 0.345, 169.576
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.812, 0.773, 0.804, 0.835, 0.864, 0.841, 0.824([140; 7]), 0.909([40; 7]), 0.376, 0.424, 0.386, 0.347,  0.346, 0.347, 139.908
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.635, 0.682, 0.645, 0.835, 0.864, 0.841, 0.659([60; 7]), 0.727([40; 7]), 0.629, 0.591, 0.621, 0.343,  0.357, 0.346, 143.423
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.800, 0.818, 0.804, 0.871, 0.864, 0.869, 0.812([80; 7]), 0.864([40; 7]), 0.417, 0.352, 0.403, 0.350,  0.337, 0.347, 144.451
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.788, 0.818, 0.794, 0.824, 0.818, 0.822, 0.824([180; 7]), 0.864([40; 7]), 0.389, 0.406, 0.392, 0.347,  0.348, 0.347, 147.762
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.835, 0.818, 0.832, 0.835, 0.864, 0.841, 0.824([140; 7]), 0.864([160; 7]), 0.383, 0.412, 0.389, 0.339,  0.348, 0.341, 160.499
100, 1000, 0, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.600, 0.636, 0.607, 0.847, 0.818, 0.841, 0.612([40; 7]), 0.818([40; 7]), 0.699, 0.666, 0.692, 0.350,  0.345, 0.349, 155.598
100, 1000, 1, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.776, 0.818, 0.785, 0.859, 0.909, 0.869, 0.824([80; 7]), 0.955([40; 7]), 0.398, 0.390, 0.397, 0.347,  0.333, 0.344, 149.906
100, 1000, 2, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.020, 0.500, 0.812, 0.818, 0.813, 0.835, 0.864, 0.841, 0.824([60; 7]), 0.818([40; 7]), 0.391, 0.408, 0.394, 0.342,  0.350, 0.343, 155.454
