100,1.000,10,0,random_init,logistic,200,10,20,50,0.050,0.500,0.854,0.909,0.860,0.823,1.000,0.841,0.854([180; 8]),1.000([180; 8]),0.348,0.207,0.334,0.335,0.266,0.328,160.345,,
100,1.000,10,0,random_init,logistic,1000,10,20,50,0.050,0.500,0.833,0.818,0.832,0.823,0.909,0.832,0.875([560; 8]),1.000([100; 8]),0.314,0.293,0.312,0.326,0.207,0.314,878.344,,
100,1.000,10,1,random_init,logistic,1000,10,20,50,0.050,0.500,0.823,0.909,0.832,0.823,0.909,0.832,0.875([720; 8]),1.000([80; 8]),0.305,0.222,0.297,0.324,0.212,0.312,816.840,,
100,1.000,10,5,random_init,logistic,1000,10,20,50,0.050,0.500,0.833,0.909,0.841,0.823,0.909,0.832,0.854([780; 8]),1.000([400; 8]),0.328,0.207,0.316,0.335,0.201,0.321,821.656,,
100,1.000,10,0,random_init,logistic,1000,10,20,50,0.010,0.500,0.854,1.000,0.869,0.823,0.909,0.832,0.865([740; 8]),1.000([740; 8]),0.315,0.252,0.308,0.332,0.249,0.324,1022.101,,
1000,1.000,20,0,random_init,logistic,0,10,20,50,0.030,0.500,0.396,0.364,0.393,0.844,1.000,0.860,0.000([0; 0]),0.000([0; 0]),1.486,1.283,1.465,0.303,0.226,0.295,930.935,,
LOGISTIC_K,REGULARIZATION_PENALTY,EMPTYNESS_PENALTY,GATE_SIZE_PENALTY,INIT_METHOD,LOSS_TYPE,n_epoch,batch_size,n_epoch_eval,n_mini_batch_update_gates,learning_rate_classifier,learning_rate_gates,train_accuracy,eval_accuracy,overall_accuracy,train_accuracy_dafi,eval_accuracy_dafi,overall_accuracy_dafi,train_acc_opt([Epoch;batch]),eval_acc_opt([Epoch;batch]),train_log_loss,eval_log_loss,overall_log_loss,train_log_loss_dafi,eval_log_loss_dafi,overall_log_loss_dafi,running_time,,
1000,0.000,20,0,random_init,logistic,0,10,20,50,0.010,0.500,0.396,0.364,0.393,0.823,0.909,0.832,0.000([0; 0]),0.000([0; 0]),9.794,6.893,9.496,0.311,0.255,0.305,973.447,,
100,1.000,20,0,random_init,logistic,1000,10,20,50,0.030,0.500,0.823,0.909,0.832,0.812,1.000,0.832,0.885([720; 8]),1.000([140; 8]),0.329,0.204,0.316,0.325,0.238,0.316,1125.154,,
1000,0.000,20,0,random_init,logistic,1,10,20,50,0.010,0.500,0.396,0.364,0.393,0.833,1.000,0.850,0.396([0; 8]),0.364([0; 8]),1.859,2.073,1.881,0.311,0.261,0.306,979.679,,
LOGISTIC_K,LOGISTIC_K_DAFI,REGULARIZATION_PENALTY,EMPTYNESS_PENALTY,GATE_SIZE_PENALTY,INIT_METHOD,LOSS_TYPE,n_epoch,batch_size,n_epoch_eval,n_mini_batch_update_gates,learning_rate_classifier,learning_rate_gates,train_accuracy,eval_accuracy,overall_accuracy,train_accuracy_dafi,eval_accuracy_dafi,overall_accuracy_dafi,train_acc_opt([Epoch;batch]),eval_acc_opt([Epoch;batch]),train_log_loss,eval_log_loss,overall_log_loss,train_log_loss_dafi,eval_log_loss_dafi,overall_log_loss_dafi,running_time,
100, 1000, 0.000, 20, 0, random_init, logistic, 100, 10, 20, 50, 0.010, 0.500, 0.604, 0.636, 0.607, 0.802, 0.909, 0.813, 0.562([80; 8]), 0.636([60; 8]), 0.683, 0.659, 0.680, 0.479,  0.494, 0.481, 75.030
100, 1000, 0.000, 20, 5, random_init, logistic, 1000, 10, 20, 50, 0.010, 0.500, 0.604, 0.636, 0.607, 0.833, 1.000, 0.850, 0.604([100; 8]), 0.636([80; 8]), 0.669, 0.665, 0.668, 0.311,  0.260, 0.306, 962.978
200, 1000, 0.000, 20, 0, random_init, logistic, 1000, 10, 20, 50, 0.010, 0.500, 0.615, 0.727, 0.626, 0.823, 0.909, 0.832, 0.625([940; 8]), 0.727([880; 8]), 0.635, 0.630, 0.634, 0.311,  0.254, 0.305, 957.705
100, 1000, 0.000, 20, 0, random_init, logistic, 1000, 10, 20, 50, 0.010, 0.500, 0.844, 1.000, 0.860, 0.823, 0.909, 0.832, 0.917([460; 8]), 1.000([500; 8]), 0.288, 0.268, 0.286, 0.311,  0.255, 0.305, 960.912
100, 1000, 0.000, 10, 1, random_init, logistic, 1000, 10, 20, 50, 0.010, 0.500, 0.835, 0.864, 0.393, 0.847, 0.818, 0.393, 0.859([980; 7]), 0.955([680; 7]), 0.349, 0.292, nan, 0.319,  0.293, nan, 815.551
100, 1000, 0.000, 10, 1, random_init, logistic, 1000, 10, 20, 50, 0.010, 0.500, 0.812, 0.773, 0.393, 0.847, 0.909, 0.393, 0.847([780; 7]), 0.955([60; 7]), 0.333, 0.358, nan, 0.315,  0.300, nan, 755.466
100, 1000, 0.000, 10, 1, random_init, logistic, 1000, 10, 20, 50, 0.010, 0.500, 0.847, 0.864, 0.393, 0.824, 0.864, 0.393, 0.859([800; 7]), 0.864([280; 7]), 0.332, 0.353, nan, 0.309,  0.303, nan, 2741.621
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.010, 0.500, 0.788, 0.818, 0.794, 0.812, 0.909, 0.832, 0.824([100; 7]), 0.909([80; 7]), 0.476, 0.450, 0.470, 0.396,  0.394, 0.396, 144.817
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.010, 0.500, 0.624, 0.545, 0.607, 0.824, 0.864, 0.832, 0.624([100; 7]), 0.545([100; 7]), 0.671, 0.687, 0.674, 0.404,  0.395, 0.402, 167.423
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.010, 0.500, 0.800, 0.773, 0.794, 0.812, 0.818, 0.813, 0.800([160; 7]), 0.773([180; 7]), 0.515, 0.561, 0.524, 0.404,  0.421, 0.407, 171.375
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.010, 0.500, 0.824, 0.864, 0.832, 0.812, 0.909, 0.832, 0.835([180; 7]), 0.909([120; 7]), 0.463, 0.451, 0.461, 0.405,  0.409, 0.406, 153.067
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.010, 0.500, 0.706, 0.682, 0.701, 0.859, 0.909, 0.869, 0.718([140; 7]), 0.682([120; 7]), 0.596, 0.606, 0.598, 0.387,  0.390, 0.388, 150.606
100, 1000, 0.000, 10, 1, random_init, logistic, 200, 10, 20, 50, 0.010, 0.500, 0.800, 0.818, 0.804, 0.812, 0.818, 0.813, 0.824([100; 7]), 0.864([140; 7]), 0.451, 0.474, 0.455, 0.404,  0.427, 0.409, 165.113
